variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"a_fit[16,44,1]",29.43858624884684,16.89705,29.244707136824836,25.051566330163357,4.339637875949078e-22,63.26962,1.7338694361597917,6.099536921539321,133.88503776647
"a_fit[17,44,1]",43.188918367020264,46.95225,42.42720532285457,68.116559574,-3.8133985e-13,93.31306999999998,1.7932988523759699,5.929656161903778,38.932646334425954
"a_fit[18,44,1]",37.858922750145496,40.83045,37.029487295444156,59.28980707019999,-1.0450074999999967e-15,82.19095999999999,1.7328143034910723,6.1402837103841685,103.31880898937422
"a_fit[19,44,1]",32.34060016934219,36.0212,32.04205447096198,52.368323069999995,-1.872733499999999e-14,71.65179499999999,1.7331537088340945,6.101781029119086,86.75041586798106
"a_fit[20,44,1]",31.500629890715206,26.44305,31.206248921344308,39.20446593008867,1.1172479500000167e-16,67.55449999999999,1.7568410050732126,6.034130607127716,61.88566890803499
"a_fit[21,44,1]",32.63593172216906,40.05505,32.347306112806045,51.363135095999986,-4.55427849999997e-15,71.32145,1.7422290257165696,6.068967511134933,68.06403317790878
"a_fit[22,44,1]",29.9395868092343,22.1288,29.460262796759064,32.80815888004493,-6.28449599999999e-14,64.69989,1.7339942932417145,6.123685481461259,95.4572835496547
"a_fit[23,44,1]",38.71642356921195,26.8816,38.44834315489451,39.85466016013409,-9.289620999999858e-16,83.18652499999999,1.7411457012703275,6.103474788241021,119.18303554213213
"a_fit[24,44,1]",44.6868399534519,59.26035,44.063401503660465,59.75619300000001,-2.5768119999999985e-13,95.422605,1.8823819429736575,5.670644331442546,30.768661198812463
"a_fit[25,44,1]",39.62254763166419,30.03745,39.10254796265465,44.53352337008309,-1.952390499999978e-18,84.414815,1.740962075728599,6.097407408847155,102.43634434324225
"a_fit[26,44,1]",43.18488966943231,29.4854,42.63805650849277,43.715054040113905,-1.3763229999999997e-14,91.97014999999998,1.7503534825847444,6.061336208770262,66.79154805137142
"a_fit[27,44,1]",41.12662384431857,45.84735,40.817942426941805,64.672012755,-3.6440430000000005e-14,87.951005,1.736897556098158,6.120561573220533,127.54750481077745
"a_fit[28,44,1]",41.975758098531976,33.71885,41.783898652897804,49.991567010097405,-4.771039999999997e-14,90.25701000000001,1.7417233931100444,6.100339379269712,81.39701493093769
"a_fit[29,44,1]",57.41908084365103,86.49975,55.84950565031047,63.68841884999998,-7.320178999999999e-13,122.58415,1.7939195607325122,5.90969855512261,43.7209310809023
"a_fit[30,44,1]",36.15316832608425,48.33025,35.83611442208561,51.3135273,-1.194167499999999e-13,77.776345,1.737124835568981,6.118589723878166,73.92395106386361
"a_fit[31,44,1]",44.864602335144895,52.9936,44.52263537437701,69.99339773999999,-5.7722055e-14,96.43313999999998,1.758901865095364,6.046624280206873,47.2885608003145
"a_fit[32,44,1]",33.35166511963701,24.72715,32.973187535089934,36.66047259001564,-1.2586759999999984e-14,71.490405,1.755214825304496,6.046931466905464,55.41390175060626
"a_fit[1,45,1]",27.79775238608,7.6492000000000004,27.621425152684274,11.318135560410001,0.13974075000000002,65.82468,1.924109547514657,5.592545699924014,39.57693298525901
"a_fit[2,45,1]",34.869248372443245,32.872,34.43841863481363,48.73602719998466,-2.8881714999999995e-13,74.95569499999999,1.745582248302528,6.057353191493491,62.20375973963774
"a_fit[3,45,1]",34.51678111192607,25.746659,34.59648750634265,38.171996584170934,5.358060500000001e-5,73.33726,1.7358460556681925,6.097153735005018,94.01670599188635
"a_fit[4,45,1]",43.05027822156852,36.3551655,43.130283669070806,53.900168370532406,5.797922090000105e-26,90.803535,1.772816017650992,5.982381827964304,62.34177555016989
"a_fit[5,45,1]",20.328885351190973,16.498860179999998,20.3857557575937,24.461210103209062,-1.4486514999999995e-12,43.284855,1.7515615563151883,6.066054331903292,80.32012768102693
"a_fit[6,45,1]",40.203165672052286,37.484049999999996,40.20687733608301,55.57385253000001,-6.754674999999995e-14,86.04163,1.7546748211594356,6.056679399569974,69.72980041217711
"a_fit[7,45,1]",21.26812340307774,11.92577155,21.65170593822751,17.681148900047752,-3.350185499999997e-14,49.886475000000004,1.9369557680681382,5.551901676899424,33.22921229132067
"a_fit[8,45,1]",39.24516092802469,31.04900265089,39.38446599090724,46.03325133057087,-1.3891089999999986e-11,84.49554499999999,1.7809742671399107,5.957038503878427,52.073937879044664
"a_fit[9,45,1]",22.979321714842,16.6659985,22.99730473412215,24.7084447612485,0.012174689999999998,49.45491500000001,1.7687420582193407,5.982192553073563,88.61416532216118
"a_fit[10,45,1]",37.81105324733713,41.9265,37.33934167473895,59.854941573,-2.1532474999999946e-14,81.32410499999999,1.7809888225350634,5.942675999312881,42.057149801201604
"a_fit[11,45,1]",19.657120874107857,4.1081900000000004e-5,34.098518633551414,6.0858257764500004e-5,1.7368100000000003e-8,81.76277999999999,1.7181251361678078,6.161464579598471,31.102707984653925
"a_fit[12,45,1]",35.06919373815,10.975,32.749228201833525,15.899444654099998,0.9743955,74.70707,1.807375676396793,5.864878713582538,57.73241723458087
"a_fit[13,45,1]",35.655209082182566,25.4756225,35.81973075148032,37.770157657519846,7.522146000000002e-5,77.21062,1.7552793203089587,6.022729071347941,125.06668047656686
"a_fit[14,45,1]",20.892202248548987,14.75001,21.082078238523717,21.86836478177723,8.246260500000001e-6,46.90503999999999,1.8295578078529773,5.8064372921758105,46.92949884021686
"a_fit[15,45,1]",29.248661222468836,24.1087751,29.31907679195131,35.743669963391866,2.284347e-9,62.077504999999995,1.74946500980279,6.037713542508154,66.23289964886483
"a_fit[16,45,1]",28.894220820433524,15.695599999999999,28.758827026172856,23.27029656018689,-6.170993999999992e-16,62.36032,1.7340006788569888,6.096443038807423,145.97256304221781
"a_fit[17,45,1]",42.53512758997144,45.043499999999995,41.87629677465208,66.63394875101999,-4.3511339999999984e-13,92.358505,1.7934087192230728,5.932509035703795,38.932646334425954
"a_fit[18,45,1]",37.122371737316286,39.00005,36.41363222120297,57.72454856196,-9.586453999999996e-15,81.042975,1.7329458955636994,6.1383061739701414,103.31880898937422
"a_fit[19,45,1]",31.73504327021801,34.459649999999996,31.523403362279215,50.913691577699986,-4.480255499999991e-15,70.72217499999998,1.7332259071834448,6.106891894842863,86.75041586798106
"a_fit[20,45,1]",30.98659344512118,25.03255,30.752305958350814,37.1132586300907,-4.975356499999992e-14,66.73032,1.7565159112231716,6.034742559992569,61.88566890803499
"a_fit[21,45,1]",32.08154378588811,38.554050000000004,31.86420327988493,51.61293836999998,-2.4619614999999987e-14,70.46616999999999,1.7424568821870063,6.068452373343437,68.06403317790878
"a_fit[22,45,1]",29.38635231393649,20.7938,29.006089115880737,30.828887880072045,-3.015780999999997e-13,63.8348,1.733663644321777,6.114532314681986,95.4572835496547
"a_fit[23,45,1]",38.07099989612177,25.215449999999997,37.87123983185885,37.38442617015968,-5.14974849999998e-15,82.13674999999999,1.7411252208504007,6.115661359478924,119.18303554213213
"a_fit[24,45,1]",44.127057000833396,57.501149999999996,43.58295955776786,61.14420312000001,-2.3068549999999993e-13,94.616615,1.882326116741402,5.669515264004223,30.768661198812463
"a_fit[25,45,1]",38.95421086911144,28.29335,38.52735837676459,41.947720710106665,-6.057774499999981e-14,83.33682499999999,1.7406706204792939,6.092372688292657,102.43634434324225
